train_per_domain,setting,metric,n,mean,std,ci95_low,ci95_high,median,min,max,scope,heldout_domain
320,ordinary,recall_B,3,0.3125966666666667,0.0065582416342594,0.2963050913002318,0.3288882420331016,0.31105,0.30695,0.31979,seed_setting,
320,ordinary,mAP50_B,3,0.2776366666666667,0.0283646423092788,0.207174989025878,0.3480983443074553,0.28031,0.24803,0.30457,seed_setting,
320,ordinary,mAP50_95_B,3,0.1138199999999999,0.0113691820286245,0.0855773861709395,0.1420626138290604,0.11288,0.10295,0.12563,seed_setting,
640,LODO mean,precision_B,3,0.3898414285714285,0.0408404449145247,0.2883881391945956,0.4912947179482614,0.4072857142857143,0.3431757142857142,0.4190628571428571,seed_setting,
640,LODO mean,recall_B,3,0.2498004761904761,0.0124327691050323,0.2189157655951808,0.2806851867857715,0.2562228571428571,0.2354699999999999,0.2577085714285714,seed_setting,
640,LODO mean,mAP50_B,3,0.2232880952380952,0.0008755014112429,0.2211132291657359,0.2254629613104546,0.2228371428571428,0.22273,0.2242971428571429,seed_setting,
640,LODO mean,mAP50_95_B,3,0.0959771428571428,0.006462710463158,0.0799228800754885,0.1120314056387971,0.0937514285714285,0.0909214285714285,0.1032585714285714,seed_setting,
640,ordinary,precision_B,3,0.4230766666666667,0.0128047426109755,0.3912679226574859,0.4548854106758475,0.42646,0.40892,0.43385,seed_setting,
640,ordinary,recall_B,3,0.3701833333333333,0.0168163204457257,0.3284092775412279,0.4119573891254387,0.36994,0.35349,0.38712,seed_setting,
640,ordinary,mAP50_B,3,0.3325466666666667,0.0090697317123128,0.3100162040846525,0.3550771292486809,0.33195,0.32379,0.3419,seed_setting,
640,ordinary,mAP50_95_B,3,0.1417033333333333,0.0072256787455112,0.1237537522686159,0.1596529143980506,0.14046,0.13518,0.14947,seed_setting,
80,,precision_B,3,0.1623466666666666,0.0496586007991901,0.0389878637086432,0.2857054696246901,0.18392,0.10555,0.19757,lodo_domain,China_Drone
80,,recall_B,3,0.2127966666666666,0.0900704848068074,-0.0109508213575589,0.4365441546908922,0.16121,0.16038,0.3168,lodo_domain,China_Drone
80,,mAP50_B,3,0.1730766666666666,0.1249592911044766,-0.1373394207995513,0.4834927541328847,0.1111,0.09122,0.31691,lodo_domain,China_Drone
80,,mAP50_95_B,3,0.0839366666666666,0.0864569079561218,-0.1308341988284628,0.2987075321617962,0.03897,0.02923,0.18361,lodo_domain,China_Drone
80,,precision_B,3,0.29675,0.1602771736711126,-0.1014005714491679,0.6949005714491681,0.35345,0.11583,0.42097,lodo_domain,China_MotorBike
80,,recall_B,3,0.14043,0.0467362204291275,0.024330792327328,0.2565292076726719,0.14537,0.09142,0.1845,lodo_domain,China_MotorBike
