domain,seed,k,selection,status,mAP50_B,mAP50_95_B,precision_B,recall_B,elapsed_sec,train_images,eval_images,finished_at
Norway,20260512,40,active,ran,0.09481,0.04191,0.2172,0.09628,174.2,3880,80,2026-06-13 12:05:21
Norway,20260512,80,active,ran,0.09343,0.03982,0.28631,0.11225,174.7,3920,80,2026-06-13 12:08:16
Norway,20260512,160,active,ran,0.09521,0.03837,0.3066,0.0999,177.5,4000,80,2026-06-13 12:11:14
Norway,20260512,320,active,ran,0.13077,0.04751,0.27396,0.14532,183.7,4160,80,2026-06-13 12:14:17
United_States,20260512,5,active,ran,0.34397,0.16296,0.4097,0.42148,181.3,3845,80,2026-06-13 15:34:03
United_States,20260512,10,active,ran,0.26053,0.11277,0.61116,0.30308,172.0,3850,80,2026-06-13 15:36:55
United_States,20260512,20,active,ran,0.3557,0.16594,0.43987,0.34107,176.2,3860,80,2026-06-13 15:39:51
United_States,20260512,40,active,ran,0.27761,0.12266,0.35361,0.28978,190.2,3880,80,2026-06-13 15:43:01
United_States,20260512,80,active,ran,0.32169,0.14499,0.32068,0.40092,180.2,3920,80,2026-06-13 15:46:01
United_States,20260512,160,active,ran,0.3404,0.14359,0.61025,0.34148,180.4,4000,80,2026-06-13 15:49:02
United_States,20260512,320,active,ran,0.40099,0.16187,0.40321,0.39281,186.7,4160,80,2026-06-13 15:52:08
