threshold,total_images,gt_positive_images,pred_positive_images_full,selected_images,accepted_predictions,image_review_coverage,selected_image_tp_rate,selected_image_fp_flag_rate,gt_image_recall_proxy,gt_image_miss_proxy,seed,model_label,split,source_csv
0.2,560.0,560.0,560.0,317.0,946.0,0.566071,0.722397,0.722397,0.408929,0.591071,20260513,YOLOv8s 640px 8ep,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260513_ordinary_image_level_coverage.csv
0.5,560.0,560.0,560.0,48.0,53.0,0.085714,0.8125,0.229167,0.069643,0.930357,20260513,YOLOv8s 640px 8ep,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260513_ordinary_image_level_coverage.csv
0.05,560.0,560.0,560.0,474.0,3694.0,0.846429,0.567511,0.966245,0.480357,0.519643,20260513,YOLOv8s 640px 8ep,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260513_lodo_all_image_level_coverage.csv
0.1,560.0,560.0,560.0,335.0,1190.0,0.598214,0.528358,0.871642,0.316071,0.683929,20260513,YOLOv8s 640px 8ep,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260513_lodo_all_image_level_coverage.csv
0.2,560.0,560.0,560.0,144.0,214.0,0.257143,0.5,0.645833,0.128571,0.871429,20260513,YOLOv8s 640px 8ep,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260513_lodo_all_image_level_coverage.csv
0.5,560.0,560.0,560.0,5.0,5.0,0.008929,0.6,0.4,0.005357,0.994643,20260513,YOLOv8s 640px 8ep,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260513_lodo_all_image_level_coverage.csv
0.05,560.0,560.0,560.0,466.0,3630.0,0.832143,0.542918,0.980687,0.451786,0.548214,20260514,YOLOv8n 320px 4ep,ordinary,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_ordinary_image_level_coverage.csv
0.1,560.0,560.0,560.0,331.0,1657.0,0.591071,0.558912,0.939577,0.330357,0.669643,20260514,YOLOv8n 320px 4ep,ordinary,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_ordinary_image_level_coverage.csv
0.2,560.0,560.0,560.0,208.0,668.0,0.371429,0.572115,0.860577,0.2125,0.7875,20260514,YOLOv8n 320px 4ep,ordinary,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_ordinary_image_level_coverage.csv
0.5,560.0,560.0,560.0,43.0,60.0,0.076786,0.651163,0.55814,0.05,0.95,20260514,YOLOv8n 320px 4ep,ordinary,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_ordinary_image_level_coverage.csv
0.05,560.0,560.0,560.0,455.0,2473.0,0.8125,0.413187,0.971429,0.335714,0.664286,20260514,YOLOv8n 320px 4ep,lodo_all,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_lodo_all_image_level_coverage.csv
0.1,560.0,560.0,560.0,300.0,955.0,0.535714,0.38,0.926667,0.203571,0.796429,20260514,YOLOv8n 320px 4ep,lodo_all,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_lodo_all_image_level_coverage.csv
0.2,560.0,560.0,560.0,156.0,330.0,0.278571,0.358974,0.839744,0.1,0.9,20260514,YOLOv8n 320px 4ep,lodo_all,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_lodo_all_image_level_coverage.csv
0.5,560.0,560.0,560.0,32.0,51.0,0.057143,0.4375,0.75,0.025,0.975,20260514,YOLOv8n 320px 4ep,lodo_all,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_lodo_all_image_level_coverage.csv
0.05,560.0,560.0,560.0,540.0,6409.0,0.964286,0.77963,0.990741,0.751786,0.248214,20260514,YOLOv8s 640px 8ep,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260514_ordinary_image_level_coverage.csv
0.1,560.0,560.0,560.0,491.0,2731.0,0.876786,0.718941,0.93279,0.630357,0.369643,20260514,YOLOv8s 640px 8ep,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260514_ordinary_image_level_coverage.csv
0.2,560.0,560.0,560.0,314.0,776.0,0.560714,0.678344,0.757962,0.380357,0.619643,20260514,YOLOv8s 640px 8ep,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260514_ordinary_image_level_coverage.csv
0.5,560.0,560.0,560.0,44.0,63.0,0.078571,0.863636,0.363636,0.067857,0.932143,20260514,YOLOv8s 640px 8ep,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260514_ordinary_image_level_coverage.csv
0.05,560.0,560.0,560.0,497.0,4700.0,0.8875,0.627767,0.971831,0.557143,0.442857,20260514,YOLOv8s 640px 8ep,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260514_lodo_all_image_level_coverage.csv
0.1,560.0,560.0,560.0,371.0,1705.0,0.6625,0.614555,0.924528,0.407143,0.592857,20260514,YOLOv8s 640px 8ep,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260514_lodo_all_image_level_coverage.csv
0.2,560.0,560.0,560.0,183.0,409.0,0.326786,0.590164,0.710383,0.192857,0.807143,20260514,YOLOv8s 640px 8ep,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260514_lodo_all_image_level_coverage.csv
0.5,560.0,560.0,560.0,4.0,6.0,0.007143,1.0,0.25,0.007143,0.992857,20260514,YOLOv8s 640px 8ep,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260514_lodo_all_image_level_coverage.csv
